id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition
9036797,2140,APARTMENT,PENTHOUSE,630000,FOR_SALE,3,165,HYPER_EQUIPPED,False,True,True,50,,,,4,,AS_NEW
9038861,6220,HOUSE,HOUSE,195000,FOR_SALE,2,140,INSTALLED,False,False,True,,True,970,1100,3,False,
9040171,2630,HOUSE,VILLA,495000,FOR_SALE,4,220,INSTALLED,,True,True,20,True,300,520,4,,GOOD
9028937,1200,APARTMENT,APARTMENT,260000,FOR_SALE,1,81,INSTALLED,False,False,,,,,,,,
9032411,5580,APARTMENT,APARTMENT,232000,FOR_SALE,2,89,USA_HYPER_EQUIPPED,False,False,True,27,True,55,,,False,
9039303,9000,APARTMENT,APARTMENT,583000,FOR_SALE,2,104,INSTALLED,,False,True,17,True,142,,2,,JUST_RENOVATED
9039398,1180,APARTMENT,PENTHOUSE,1850000,FOR_SALE,4,300,HYPER_EQUIPPED,False,True,,,,,,4,,AS_NEW
9026872,9040,HOUSE,HOUSE,298000,FOR_SALE,3,155,HYPER_EQUIPPED,,False,,,,,0,2,,GOOD
9026164,8581,HOUSE,HOUSE,425000,FOR_SALE,3,203,INSTALLED,False,False,True,,,,4090,4,,GOOD
9026482,4000,HOUSE,APARTMENT_BLOCK,1250000,FOR_SALE,13,500,,,False,,,,,127,3,,AS_NEW
9031335,8370,APARTMENT,APARTMENT,218800,FOR_SALE,1,70,INSTALLED,,False,True,6,,,,4,,
9031856,8620,APARTMENT,APARTMENT,265000,FOR_SALE,3,95,SEMI_EQUIPPED,,False,,,,,,2,,GOOD
9029011,1180,HOUSE,HOUSE,890000,FOR_SALE,4,210,USA_UNINSTALLED,False,True,,,True,250,330,3,False,AS_NEW
9042069,1000,APARTMENT,APARTMENT,295000,FOR_SALE,2,70,,,False,True,,,,,,,AS_NEW
9030663,6890,HOUSE,COUNTRY_COTTAGE,350000,FOR_SALE,3,204,USA_SEMI_EQUIPPED,,False,,,,,0,4,False,GOOD
9023939,1150,HOUSE,HOUSE,600000,FOR_SALE,2,95,USA_INSTALLED,,True,,,True,288,362,4,,TO_BE_DONE_UP
9034198,2060,APARTMENT,APARTMENT,217000,FOR_SALE,2,75,INSTALLED,False,False,,,,,,2,,JUST_RENOVATED
9033874,1410,HOUSE,VILLA,675000,FOR_SALE,5,234,INSTALLED,False,True,True,60,True,,1425,4,,GOOD
8948350,6840,APARTMENT,APARTMENT,69000,FOR_SALE,1,63,USA_SEMI_EQUIPPED,False,False,True,19,,,,,False,GOOD
9002206,1850,APARTMENT,SERVICE_FLAT,73000,FOR_SALE,1,34,,False,False,,,,,,2,,GOOD
8975050,4030,APARTMENT,FLAT_STUDIO,75000,FOR_SALE,0,35,SEMI_EQUIPPED,False,False,,,,,,2,False,TO_BE_DONE_UP
8948356,6840,APARTMENT,APARTMENT,79000,FOR_SALE,1,57,USA_SEMI_EQUIPPED,False,False,True,4,,,,,False,GOOD
8979480,8400,APARTMENT,FLAT_STUDIO,99000,FOR_SALE,0,34,,True,False,,,,,,2,,GOOD
8513952,4500,APARTMENT,APARTMENT,115000,FOR_SALE,1,75,INSTALLED,,False,,,,,,2,,GOOD
8910658,8434,APARTMENT,FLAT_STUDIO,119000,FOR_SALE,0,38,INSTALLED,,False,,,,,,2,,GOOD
8960211,1160,APARTMENT,FLAT_STUDIO,124000,FOR_SALE,0,21,HYPER_EQUIPPED,True,False,True,,,,,4,False,AS_NEW
9025218,1200,APARTMENT,APARTMENT,125000,FOR_SALE,2,78,NOT_INSTALLED,,False,,,,,,2,,TO_RENOVATE
8948987,4500,APARTMENT,APARTMENT,129000,FOR_SALE,3,103,INSTALLED,,False,,,,,,2,,JUST_RENOVATED
9000635,1000,APARTMENT,FLAT_STUDIO,135000,FOR_SALE,0,20,,,False,,,,,,,,JUST_RENOVATED
8682329,7050,APARTMENT,APARTMENT,139000,FOR_SALE,1,61,HYPER_EQUIPPED,,False,True,7,,,,4,,AS_NEW
8993060,6700,APARTMENT,APARTMENT,140000,FOR_SALE,1,60,SEMI_EQUIPPED,,False,,,,,,2,,GOOD
8951252,8400,APARTMENT,APARTMENT,140000,FOR_SALE,2,77,INSTALLED,False,False,,,,,,,,GOOD
8852169,7090,APARTMENT,APARTMENT,147000,FOR_SALE,1,70,HYPER_EQUIPPED,False,False,True,5,,,,4,,AS_NEW
8877356,4540,APARTMENT,APARTMENT,148500,FOR_SALE,1,78,INSTALLED,,False,True,4,,,,,,
8254189,7090,APARTMENT,APARTMENT,159000,FOR_SALE,1,80,HYPER_EQUIPPED,False,False,,,,,,3,,AS_NEW
8685696,8434,APARTMENT,APARTMENT,163000,FOR_SALE,1,55,,True,False,,,,,,2,,JUST_RENOVATED
8580096,8434,APARTMENT,APARTMENT,163000,FOR_SALE,1,55,,True,False,,,,,,2,,JUST_RENOVATED
8973307,2000,APARTMENT,APARTMENT,174000,FOR_SALE,1,40,INSTALLED,False,False,,,,,,,False,AS_NEW
